GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
politics,com.example.demo.dtomapper,RateLimitDtoMapper,3,24,1,1,1,7,1,2,0,2
politics,com.example.demo.dtomapper,PoliticiansDtoMapper,19,27,0,0,5,7,2,3,2,3
politics,com.example.demo.dtomapper,RatingDtoMapper,0,62,0,0,0,17,0,5,0,5
politics,com.example.demo.filter,RefreshJwtFilter,5,45,1,1,2,12,1,2,0,2
politics,com.example.demo.filter,AddPoliticianFilter,5,86,2,4,2,26,2,7,0,6
politics,com.example.demo.filter,AddPoliticianFilterProduction,72,0,6,0,21,0,6,0,3,0
politics,com.example.demo.controller,RatingsController,0,137,0,4,0,29,0,9,0,7
politics,com.example.demo.controller,PoliticianController,42,72,0,2,8,16,2,5,2,4
politics,com.example.demo.controller,RateLimitController,5,62,0,0,0,14,1,2,1,2
politics,com.example.demo.controller,Oauth2,0,128,0,0,0,25,0,4,0,4
politics,com.example.demo.model.userRaterNumber.facebook,FacebookUserRaterNumberImplementor,17,196,1,3,4,35,2,10,1,9
politics,com.example.demo.model.userRaterNumber.facebook,FacebookUserRaterNumberImplementorTest,48,0,0,0,18,0,5,0,5,0
politics,com.example.demo.dtoRequest,AddPoliticianDTORequest,122,36,30,0,30,16,18,8,3,8
politics,com.example.demo.dtoRequest,AddRatingDTORequest,122,36,30,0,30,16,18,8,3,8
politics,com.example.demo.model.averageCalculator,LowSatisfactionAverageCalculator,3,26,0,0,1,8,1,3,1,3
politics,com.example.demo.model.averageCalculator,AverageCalculator,0,15,0,0,0,6,0,3,0,3
politics,com.example.demo.model.averageCalculator,HighSatisfactionAverageCalculator,3,26,0,0,1,8,1,3,1,3
politics,com.example.demo.model.averageCalculator,DecentSatisfactionAverageCalculator,3,26,0,0,1,8,1,3,1,3
